game_name,app_id
ASTRA: Knights of Veda,2484250
Wars and Roses,1786200
Forza Motorsport,2440510
StrangerZ,2293600
PAYDAY 3,1272080
江湖十一,1816570
Cultivation Tales,1504570
Retirement Simulator,1220840
Resident Evil Re:Verse,1236300
Redfall,1294810
HAWKEN REBORN,705040
NBA 2K24,2338770
Feed the Cups,2336220
Mirror 2: Project X,1832640
THE 4 SINS,2128940
STAR WARS™: Battlefront Classic Collection,2446550
MOBILE SUIT GUNDAM BATTLE OPERATION 2,1367080
Command & Conquer™ 4 Tiberian Twilight,47700
Overwatch® 2,2357570
F1® 22,1692250
Gloria Victis: Medieval MMORPG,327070
VEILED EXPERTS,1934780
Chimeraland,1913730
Video Horror Society,611360
The Cycle: Frontier,868270
Paragon: The Overprime,1531430
Dread Hunger,1418630
Warhaven,2107670
SUPER PEOPLE 2,1190340
Starsiege: Deadzone,2170420
GUNDAM EVOLUTION,1816670
Nine to Five,1408680
CROWZ,1692070
The Day Before,1372880
JBMod,2158860
ARK: Survival Ascended,2399830
Call of Duty®,1938090
Minecraft Legends,1928870
Saints Row,742420
Watch Dogs®: Legion,2239550
R2Beat: 音速觉醒,1630280
Neon Echo,2321210
Deceit 2,2064870
Badlanders,1560500
Battle Teams 2,1969870
Hero's Land,2349820
EA SPORTS™ FIFA 23,1811260
Jujutsu Kaisen Cursed Clash,1877020
Lost Light,1797880
EA SPORTS FC™ 24,2195250
The Dark Pictures Anthology: The Devil in Me,1567020
HAWKED,1955960
Expeditions: A MudRunner Game,2477340
Undawn,1881700
RiichiCity - ACG mahjong games,1954420
Osiris: New Dawn,402710
World War 3,674020
Warhammer Age of Sigmar: Realms of Ruin,1844380
DRAGON BALL: THE BREAKERS,1276760
SOUTH PARK: SNOW DAY!,1214650
Company of Heroes 3,1677280
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,2594920
Cities: Skylines II,949230
鬼谷八荒 Tale of Immortal,1468810
Only Climb: Better Together,2500750
Garten of Banban,2232840
UNDECEMBER,1549250
Madden NFL 23,1760250
Astral Party,2622000
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,1020790
Dawnlands,2197910
WWII Online,251950
Lust Goddess,2808930
Sword and Fairy Inn 2,1918680
Richman 11,2074800
Wo Long: Fallen Dynasty,1448440
A.V.A Global,1473480
WILD HEARTS™,1938010
Star Trek: Infinite,1622900
Wayfinder,1171690
Kerbal Space Program 2,954850
Madden NFL 24,2140330
Homeworld 3,1840080
Blood Bowl 3,1016950
Three Kingdoms Zhao Yun,2201710
Souldiers,1419160
Divine Knockout (DKO),1294660
Taiko Risshiden V DX,1842810
SYNCED,1008080
再刷一把 PlayAgain,2059790
ENDLESS™ Dungeon,1485590
Victoria 3,529340
Garten of Banban 2,2262770
Soul Hackers 2,1777620
The Immortal Mayor,1426730
Magic: The Gathering Arena,2141910
Grand Theft Auto III – The Definitive Edition,1546970
EA SPORTS™ WRC,1849250
Tom Clancy’s Rainbow Six® Extraction,2379390
Soulworker : Your Destiny Awaits,1825750
Beyond The Wire,1058650
Alaskan Road Truckers,849100
Book of Yog Idle RPG,1097430
The Callisto Protocol™,1544020
Nightingale,1928980
Diablo® IV,2344520
Boundary,1364020
Men of War II,1128860
DON'T SCREAM,2497900
剑气劫,2739600
Lords of the Fallen,1501750
Godfall Ultimate Edition,928960
SD GUNDAM BATTLE ALLIANCE,824550
EMERGENCY,850170
Lovelorn sanatoriumⅠ,2078780
NBA 2K23,1919590
Total War: PHARAOH,1937780
Pixel Gun 3D: PC Edition,2524890
The Guild 3,311260
DNF Duel,1216060
Forspoken,1680880
Call of the Wild: The Angler™,1408610
ANVIL,1487390
江湖客栈-The Jianghu,1881610
Warlander,1675900
Need for Speed™ Unbound,1846380
Dragonheir: Silent Gods,2203070
Mortal Online 2,1170950
Nobody - The Turnaround,1810580
Portal with RTX,2012840
Dragon's Dogma 2,2054970
古龙风云录,2340650
Starfield,1716740
The World of Kungfu: Dragon and Eagle,1407450
Zenith: Nexus,1403370
Idle Skilling,1048370
The Texas Chain Saw Massacre,1433140
Tower of Fantasy,2064650
TEKKEN 8,1778820
Myth of Empires,1371580
Ultimate Admiral: Dreadnoughts,1069660
Frozenheim,1134100
下一站江湖Ⅱ,1606180
Meet Your Maker,1194810
FOR HONOR™,304390
Torchlight: Infinite,1974050
WWE 2K24,2315690
Bleak Faith: Forsaken,1173220
Trek to Yomi,1370050
Immortals Fenyx Rising,2221920
Mortal Kombat 1,1971870
Assassin's Creed Valhalla,2208920
Heartwood Online,2180600
For The King II,1676840
The Front,2285150
Distant Worlds 2,1531540
Longvinter,1635450
Exoprimal,1286320
METAL GEAR SOLID - Master Collection Version,2131630
SONIC SUPERSTARS,2022670
The Great War: Western Front™,2109370
MICROVOLTS: Recharged,1426440
Gotham Knights,1496790
Frozen Flame,715400
Millennia,1268590
World Boss,1628620
No One Survived,1963370
Shadow Warrior 3: Definitive Edition,1036890
Atlas Fallen,1230530
Outpost: Infinity Siege,1566690
"Warhammer 40,000: Darktide",1361210
Apocalypse Party,2351560
THE HOUSE OF THE DEAD: Remake,1694600
Hokko Life,824000
WRC Generations – The FIA WRC Official Game,1953520
Call of Duty®: Vanguard,1985820
Arma Reforger,1874880
Bodycam,2406770
MY HERO ULTRA RUMBLE,1607250
Disney Speedstorm,1537830
Gray Zone Warfare,2479810
STAR WARS Jedi: Survivor™,1774580
Sonic Origins,1794960
Total War: WARHAMMER III,1142710
