game_name,app_id
Vampire Survivors,1794680
HoloCure - Save the Fans!,2420510
Pizza Tower,2231450
Lethal Company,1966720
Cats Hidden in Jingle Jam,2608050
VPet-Simulator,1920960
Cats Hidden in Paris,2313250
Resident Evil 4,2050650
Papa's Freezeria Deluxe,2291760
Entropy : Zero 2,1583720
Stray,1332010
Baldur's Gate 3,1086940
DAVE THE DIVER,1868140
Volcano Princess,1669980
Sheepy: A Short Adventure,1568400
Chants of Sennaar,1931770
Crab Champions,774801
Brotato,1942280
Neon White,1533420
Pineapple on pizza,2263010
Steam Engine Simulator,2381620
PowerWash Simulator,1290000
Placid Plastic Duck Simulator,1999360
Bomb Rush Cyberfunk,1353230
Balatro,2379780
Hi-Fi RUSH,1817230
SANABI,1562700
Persona 5 Royal,1687950
Wobbledogs,1424330
God of War,1593500
An Arcade Full of Cats,2368470
The Case of the Golden Idol,1677770
A Castle Full of Cats,2070550
Lil Gator Game,1586800
20 Small Mazes,2570630
The Murder of Sonic the Hedgehog,2324650
Patrick's Parabox,1260520
The Coffin of Andy and Leyley,2378900
The WereCleaner,2795000
东北之夏,2121360
CULTIC,1684930
A Date with Death,2415010
魔女的夜宴,2458530
LIZARDS MUST DIE,2532550
"Please, Touch The Artwork 2",2600140
Ib,1901370
Trombone Champ,1059990
A Building Full of Cats,1969080
Outcore: Desktop Adventure,1275670
Murders on the Yangtze River,1746030
Juice Galaxy,1708150
I Wani Hug that Gator!,1895350
Underground Blossom,2291850
Paper Lily - Chapter 1,2220360
The Looker,1985690
Lost in Play,1328840
Arrow a Row,2495980
Slay the Princess,1989270
Monument Valley: Panoramic Edition,1927720
Dorfromantik,1455840
SIGNALIS,1262350
Marvel’s Spider-Man Remastered,1817070
Half-Life 2: VR Mod,658920
VillageRhapsody,2109460
Stacklands,1948280
The Hungry Lamb: Traveling in the Late Ming Dynasty,2593370
Bloody Hell,2056220
Thronefall,2239150
Pseudoregalia,2365810
Fear & Hunger 2: Termina,2171440
巫兎 - KANNAGI USAGI -,2551500
Café Stella and the Reaper's Butterflies,1829980
Handshakes,2171690
Monster Prom 3: Monster Roadtrip,1665190
Your Only Move Is HUSTLE,2212330
BABBDI,2240530
Teardown,1167630
The Planet Crafter,1284190
Halls of Torment,2218750
Crow Country,1996010
