scrape_id,game_name,match_name,app_id
72067,Half-Life: Alyx,Half-Life: Alyx,546560
66630,Persona 5 Royal,Persona 5 Royal,1687950
33660,The Witcher 3: Wild Hunt - Blood and Wine,The Witcher 3: Wild Hunt - Blood and Wine,378648
10270,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,292030
27100,Red Dead Redemption 2,Red Dead Redemption 2,1174180
68151,Elden Ring,ELDEN RING,1245620
1705,Chrono Trigger,CHRONO TRIGGER,613830
38050,God of War,God of War,1593500
2224,Dark Souls,Derp Souls,2143170
84851,Mass Effect Legendary Edition,Mass Effect™ Legendary Edition,1328670
57335,Disco Elysium,Disco Elysium,632470
7231,Portal 2,Portal 2,620
26286,Hollow Knight,Hollow Knight,367520
8523,Silent Hill 2,SILENT HILL 2,2124490
25074,Half-Life 2: Update,Half-Life 2: Update,290930
62941,Hades,Hade,552160
43056,Yakuza 0,Yakuza 0,638970
26803,Dark Souls III,DARK SOULS™ III,374320
95927,Dead Space,Dead Space,1693980
5699,Mass Effect 2,Mass Effect 2,24999
30003,The Witcher 3: Wild Hunt - Hearts of Stone,The Witcher 3: Wild Hunt - Hearts of Stone ,378649
57527,Outer Wilds,Outer Wilds,753640
9207,Steins;Gate,STEINS;GATE,412830
3505,Final Fantasy IX,FINAL FANTASY IX,377840
3521,Final Fantasy VII,FINAL FANTASY VII,39140
39525,Divinity: Original Sin II,Divinity: Original Sin 2,435150
7093,Planescape: Torment,Planescape Torment,205180
56677,Dark Souls: Remastered,DARK SOULS™: REMASTERED,570940
7720,Resident Evil 4,Resident Evil 4,2050650
17455,Factorio,Factorio,427520
4248,Half-Life 2,Half-Life 2,220
38029,Nier: Automata,NieR:Automata™,524220
3519,Final Fantasy VI,FINAL FANTASY VII,39140
85624,OMORI,Mori,1874500
9150,StarCraft,STALCRAFT,1818450
6064,Minecraft,Tilecraft,2164880
9111,Star Wars: Knights of the Old Republic,STAR WARS™ Knights of the Old Republic™,32370
42818,Celeste,Celeste,504230
2767,Dragon Age: Origins - Ultimate Edition,Dragon Age: Origins - Ultimate Edition,47810
57479,Resident Evil 2,Resident Evil 0,339340
3916,Ghost Trick: Phantom Detective,Ghost Trick: Phantom Detective,1967430
7717,Resident Evil,Resident Evil,304240
7718,Resident Evil 2,Resident Evil 0,339340
61882,Return of the Obra Dinn,Return of the Obra Dinn,653530
61442,Psychonauts 2,Psychonauts 2,607080
21680,Cuphead,Cuphead,268910
3525,Final Fantasy X,FINAL FANTASY IX,377840
4064,Grand Theft Auto V,Grand Theft Auto V,362003
2512,Diablo II,Diablo® IV,2344520
19265,Ori and the Blind Forest,Ori and the Blind Forest,261570
3339,Fallout 2,Fallout 2,38410
9548,System Shock 2,System Shock 2,238210
34716,Stardew Valley,Stardew Valley,413150
